county,fips,pollutant,val
Adjuntas,72001,"1,3-BUTADIENE",0.0
Adjuntas,72001,"1,4-DICHLOROBENZENE",2.2574400000000002e-10
Adjuntas,72001,"2,4,6-TRICHLOROPHENOL",0.0
Adjuntas,72001,ACETALDEHYDE,0.0
Adjuntas,72001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adjuntas,72001,BENZENE,0.0
Adjuntas,72001,BERYLLIUM COMPOUNDS,0.0
Adjuntas,72001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1074294619999998e-05
Adjuntas,72001,CADMIUM COMPOUNDS,0.0
Adjuntas,72001,CARBON TETRACHLORIDE,0.0053
Adjuntas,72001,CHROMIUM VI (HEXAVALENT),0.0
Adjuntas,72001,ETHYLBENZENE,0.0
Adjuntas,72001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.9023378e-08
Adjuntas,72001,ETHYLENE OXIDE,0.0
Adjuntas,72001,FORMALDEHYDE,0.0
Adjuntas,72001,HEXACHLOROBENZENE,5.904978e-08
Adjuntas,72001,METHYLENE CHLORIDE,0.000337259102022
Adjuntas,72001,NAPHTHALENE,0.0
Adjuntas,72001,NICKEL COMPOUNDS,0.0
Adjuntas,72001,PAHPOM,0.0
Adjuntas,72001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Adjuntas,72001,TETRACHLOROETHYLENE,0.0
Adjuntas,72001,TRICHLOROETHYLENE,0.001147446257965
Aguada,72003,"1,3-BUTADIENE",0.0
Aguada,72003,"1,4-DICHLOROBENZENE",1.0065600000000001e-10
Aguada,72003,"2,4,6-TRICHLOROPHENOL",0.0
Aguada,72003,ACETALDEHYDE,0.0
Aguada,72003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aguada,72003,BENZENE,0.0
Aguada,72003,BERYLLIUM COMPOUNDS,0.0
Aguada,72003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.995356906000001e-06
Aguada,72003,CADMIUM COMPOUNDS,0.0
Aguada,72003,CARBON TETRACHLORIDE,0.0053
Aguada,72003,CHROMIUM VI (HEXAVALENT),0.0
Aguada,72003,ETHYLBENZENE,0.0
Aguada,72003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",3.3607581e-08
Aguada,72003,ETHYLENE OXIDE,0.0
Aguada,72003,FORMALDEHYDE,0.0
Aguada,72003,HEXACHLOROBENZENE,2.6569717e-08
Aguada,72003,METHYLENE CHLORIDE,0.000356452433935
Aguada,72003,NAPHTHALENE,0.0
Aguada,72003,NICKEL COMPOUNDS,0.0
Aguada,72003,PAHPOM,0.0
Aguada,72003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aguada,72003,TETRACHLOROETHYLENE,0.0
Aguada,72003,TRICHLOROETHYLENE,0.0020086830922410003
Aguadilla,72005,"1,3-BUTADIENE",0.0
Aguadilla,72005,"1,4-DICHLOROBENZENE",8.578e-11
Aguadilla,72005,"2,4,6-TRICHLOROPHENOL",0.0
Aguadilla,72005,ACETALDEHYDE,0.0
