county,fips,pollutant,val
Barbour,54001,"1,1,2-TRICHLOROETHANE",0.0
Barbour,54001,"1,3-BUTADIENE",0.0
Barbour,54001,"1,3-DICHLOROPROPENE",0.0
Barbour,54001,"1,4-DICHLOROBENZENE",0.0
Barbour,54001,"1,4-DIOXANE",0.0
Barbour,54001,"2,4,6-TRICHLOROPHENOL",0.0
Barbour,54001,"2,4-DINITROTOLUENE",0.0
Barbour,54001,"2,4-TOLUENE DIISOCYANATE",0.0
Barbour,54001,2-NITROPROPANE,0.0
Barbour,54001,ACETALDEHYDE,0.0
Barbour,54001,ACETAMIDE,0.0
Barbour,54001,ACRYLONITRILE,0.0
Barbour,54001,ALLYL CHLORIDE,0.0
Barbour,54001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Barbour,54001,BENZENE,0.0
Barbour,54001,BENZYL CHLORIDE,0.0
Barbour,54001,BERYLLIUM COMPOUNDS,0.0
Barbour,54001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Barbour,54001,BROMOFORM,0.0
Barbour,54001,CADMIUM COMPOUNDS,0.0
Barbour,54001,CARBON TETRACHLORIDE,0.0
Barbour,54001,CHLOROPRENE,0.0
Barbour,54001,CHROMIUM VI (HEXAVALENT),0.0
Barbour,54001,EPICHLOROHYDRIN,0.0
Barbour,54001,ETHYLBENZENE,0.0
Barbour,54001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Barbour,54001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Barbour,54001,ETHYLENE OXIDE,0.0
Barbour,54001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Barbour,54001,FORMALDEHYDE,0.0
Barbour,54001,HEXACHLOROBENZENE,0.0
Barbour,54001,HEXACHLOROBUTADIENE,0.0
Barbour,54001,METHYL TERT-BUTYL ETHER,2.5683600000000003e-10
Barbour,54001,METHYLENE CHLORIDE,0.0
Barbour,54001,NAPHTHALENE,0.0
Barbour,54001,NICKEL COMPOUNDS,0.0
Barbour,54001,NITROBENZENE,0.0
Barbour,54001,O-TOLUIDINE,0.0
Barbour,54001,PAHPOM,0.0
Barbour,54001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Barbour,54001,PROPYLENE OXIDE,0.0
Barbour,54001,TETRACHLOROETHYLENE,0.0
Barbour,54001,TRICHLOROETHYLENE,0.0
Barbour,54001,VINYL CHLORIDE,0.0
Berkeley,54003,"1,1,2-TRICHLOROETHANE",0.0
Berkeley,54003,"1,3-BUTADIENE",0.0
Berkeley,54003,"1,3-DICHLOROPROPENE",0.0
Berkeley,54003,"1,4-DICHLOROBENZENE",0.0
Berkeley,54003,"1,4-DIOXANE",0.0
Berkeley,54003,"2,4,6-TRICHLOROPHENOL",0.0
Berkeley,54003,"2,4-DINITROTOLUENE",0.0
Berkeley,54003,"2,4-TOLUENE DIISOCYANATE",0.0
Berkeley,54003,2-NITROPROPANE,0.0
Berkeley,54003,ACETALDEHYDE,0.0
Berkeley,54003,ACETAMIDE,0.0
Berkeley,54003,ACRYLONITRILE,0.0
Berkeley,54003,ALLYL CHLORIDE,0.0
Berkeley,54003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Berkeley,54003,BENZENE,0.0
Berkeley,54003,BENZYL CHLORIDE,0.0
Berkeley,54003,BERYLLIUM COMPOUNDS,0.0
Berkeley,54003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Berkeley,54003,BROMOFORM,0.0
Berkeley,54003,CADMIUM COMPOUNDS,0.0
Berkeley,54003,CARBON TETRACHLORIDE,0.0
Berkeley,54003,CHLOROPRENE,0.0
Berkeley,54003,CHROMIUM VI (HEXAVALENT),0.0
Berkeley,54003,EPICHLOROHYDRIN,0.0
Berkeley,54003,ETHYLBENZENE,0.0
Berkeley,54003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Berkeley,54003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Berkeley,54003,ETHYLENE OXIDE,0.0
Berkeley,54003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Berkeley,54003,FORMALDEHYDE,0.0
Berkeley,54003,HEXACHLOROBENZENE,0.0
Berkeley,54003,HEXACHLOROBUTADIENE,0.0
Berkeley,54003,METHYL TERT-BUTYL ETHER,3.3687099999999995e-10
Berkeley,54003,METHYLENE CHLORIDE,0.0
Berkeley,54003,NAPHTHALENE,0.0
Berkeley,54003,NICKEL COMPOUNDS,0.0
Berkeley,54003,NITROBENZENE,0.0
Berkeley,54003,O-TOLUIDINE,0.0
Berkeley,54003,PAHPOM,0.0
Berkeley,54003,PENTACHLOROPHENOL,0.0
Berkeley,54003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Berkeley,54003,PROPYLENE OXIDE,0.0
Berkeley,54003,TETRACHLOROETHYLENE,0.0
Berkeley,54003,TRICHLOROETHYLENE,0.0
Berkeley,54003,VINYL CHLORIDE,0.0
Boone,54005,"1,1,2-TRICHLOROETHANE",0.0
Boone,54005,"1,3-BUTADIENE",0.0
Boone,54005,"1,3-DICHLOROPROPENE",0.0
Boone,54005,"1,4-DICHLOROBENZENE",0.0
Boone,54005,"1,4-DIOXANE",0.0
Boone,54005,"2,4,6-TRICHLOROPHENOL",0.0
Boone,54005,"2,4-DINITROTOLUENE",0.0
Boone,54005,"2,4-TOLUENE DIISOCYANATE",0.0
Boone,54005,2-NITROPROPANE,0.0
Boone,54005,ACETALDEHYDE,0.0
Boone,54005,ACETAMIDE,0.0
Boone,54005,ACRYLONITRILE,0.0
Boone,54005,ALLYL CHLORIDE,0.0
Boone,54005,ANILINE,0.0
Boone,54005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Boone,54005,BENZENE,0.0
Boone,54005,BENZYL CHLORIDE,0.0
Boone,54005,BERYLLIUM COMPOUNDS,0.0
Boone,54005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Boone,54005,BROMOFORM,0.0
Boone,54005,CADMIUM COMPOUNDS,0.0
Boone,54005,CARBON TETRACHLORIDE,0.0
Boone,54005,CHLOROPRENE,0.0
Boone,54005,CHROMIUM VI (HEXAVALENT),0.0
Boone,54005,DICHLOROETHYL ETHER (BIS[2-CHLOROETHYL]ETHER),0.0
Boone,54005,EPICHLOROHYDRIN,0.0
Boone,54005,ETHYLBENZENE,0.0
Boone,54005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Boone,54005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Boone,54005,ETHYLENE OXIDE,0.0
Boone,54005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Boone,54005,FORMALDEHYDE,0.0
Boone,54005,HEXACHLOROBENZENE,0.0
Boone,54005,HEXACHLOROBUTADIENE,0.0
Boone,54005,METHYL TERT-BUTYL ETHER,4.79682e-10
Boone,54005,METHYLENE CHLORIDE,0.0
Boone,54005,NAPHTHALENE,0.0
Boone,54005,NICKEL COMPOUNDS,0.0
